 DM_Mass |   Captures |   MaxCaptures
   5.2000000000000002        4.4106966429212748E+021   2.1053686074419066E+029
   5.4000000000000004        4.4342356239326999E+021   2.0273919923514656E+029
   5.5999999999999996        4.4550564303085985E+021   1.9549851354817708E+029
   5.7999999999999998        4.4733692829169557E+021   1.8875718549479164E+029
   6.0000000000000000        4.4893625379235063E+021   1.8246527931163195E+029
   6.2000000000000002        4.5032055408125348E+021   1.7657930255964381E+029
   6.4000000000000004        4.5150510478069025E+021   1.7106119935465493E+029
   6.5999999999999996        4.5250372987377392E+021   1.6587752664693815E+029
   6.7999999999999998        4.5332897950927967E+021   1.6099877586320463E+029
   7.0000000000000000        4.5399228273024576E+021   1.5639881083854166E+029
